,Time,Vibration RMS Velocity,Temperature,Name,Datetime
456,1.8.2022 02:18:38,0.5,37.3,HVAC drive,2022-08-01 02:18:38
454,1.8.2022 02:48:42,0.12,41.1,humidifier Condair,2022-08-01 02:48:42
456,1.8.2022 02:54:43,0.73,26.8,air fan,2022-08-01 02:54:43
453,1.8.2022 03:16:22,0.09,28.2,control cabinet,2022-08-01 03:16:22
451,1.8.2022 03:17:01,0.55,28.5,control valve,2022-08-01 03:17:01
455,1.8.2022 03:18:47,0.64,37.2,HVAC drive,2022-08-01 03:18:47
453,1.8.2022 03:48:54,0.12,39.7,humidifier Condair,2022-08-01 03:48:54
455,1.8.2022 03:54:41,0.58,26.7,air fan,2022-08-01 03:54:41
452,1.8.2022 04:16:28,0.11,28.2,control cabinet,2022-08-01 04:16:28
450,1.8.2022 04:17:05,0.59,28.5,control valve,2022-08-01 04:17:05
454,1.8.2022 04:18:56,0.57,37.2,HVAC drive,2022-08-01 04:18:56
452,1.8.2022 04:49:04,0.14,38.4,humidifier Condair,2022-08-01 04:49:04
454,1.8.2022 04:54:39,0.95,26.8,air fan,2022-08-01 04:54:39
451,1.8.2022 05:16:33,0.11,28.1,control cabinet,2022-08-01 05:16:33
449,1.8.2022 05:17:08,0.45,28.5,control valve,2022-08-01 05:17:08
453,1.8.2022 05:19:05,0.57,37.2,HVAC drive,2022-08-01 05:19:05
451,1.8.2022 05:49:14,0.12,37.2,humidifier Condair,2022-08-01 05:49:14
453,1.8.2022 05:54:37,0.8,26.8,air fan,2022-08-01 05:54:37
450,1.8.2022 06:16:40,0.11,28.1,control cabinet,2022-08-01 06:16:40
448,1.8.2022 06:17:11,0.43,28.4,control valve,2022-08-01 06:17:11
452,1.8.2022 06:19:14,0.64,37.2,HVAC drive,2022-08-01 06:19:14
450,1.8.2022 06:49:23,0.12,36.3,humidifier Condair,2022-08-01 06:49:23
452,1.8.2022 06:54:36,0.8,26.8,air fan,2022-08-01 06:54:36
449,1.8.2022 07:16:44,0.09,28.1,control cabinet,2022-08-01 07:16:44
447,1.8.2022 07:17:14,0.45,28.4,control valve,2022-08-01 07:17:14
451,1.8.2022 07:19:23,0.43,37.1,HVAC drive,2022-08-01 07:19:23
449,1.8.2022 07:49:32,0.12,35.4,humidifier Condair,2022-08-01 07:49:32
451,1.8.2022 07:54:33,0.76,26.6,air fan,2022-08-01 07:54:33
448,1.8.2022 08:16:49,0.11,28.1,control cabinet,2022-08-01 08:16:49
446,1.8.2022 08:17:17,0.47,28.3,control valve,2022-08-01 08:17:17
450,1.8.2022 08:19:32,0.4,37.0,HVAC drive,2022-08-01 08:19:32
448,1.8.2022 08:49:40,0.12,34.7,humidifier Condair,2022-08-01 08:49:40
450,1.8.2022 08:54:31,0.8,26.4,air fan,2022-08-01 08:54:31
447,1.8.2022 09:16:55,0.09,28.1,control cabinet,2022-08-01 09:16:55
445,1.8.2022 09:17:22,0.37,28.3,control valve,2022-08-01 09:17:22
449,1.8.2022 09:19:43,0.5,37.0,HVAC drive,2022-08-01 09:19:43
447,1.8.2022 09:49:47,0.12,34.1,humidifier Condair,2022-08-01 09:49:47
449,1.8.2022 09:54:28,0.77,26.3,air fan,2022-08-01 09:54:28
446,1.8.2022 10:17:00,0.54,28.5,control cabinet,2022-08-01 10:17:00
444,1.8.2022 10:17:28,0.43,28.3,control valve,2022-08-01 10:17:28
448,1.8.2022 10:19:52,0.47,36.9,HVAC drive,2022-08-01 10:19:52
446,1.8.2022 10:49:56,0.12,33.7,humidifier Condair,2022-08-01 10:49:56
448,1.8.2022 10:54:27,0.8,26.3,air fan,2022-08-01 10:54:27
445,1.8.2022 11:17:05,0.54,28.7,control cabinet,2022-08-01 11:17:05
443,1.8.2022 11:17:33,0.36,28.5,control valve,2022-08-01 11:17:33
447,1.8.2022 11:20:01,0.54,36.9,HVAC drive,2022-08-01 11:20:01
445,1.8.2022 11:50:03,0.16,33.1,humidifier Condair,2022-08-01 11:50:03
447,1.8.2022 11:54:25,0.73,26.2,air fan,2022-08-01 11:54:25
444,1.8.2022 12:17:14,0.54,28.7,control cabinet,2022-08-01 12:17:14
442,1.8.2022 12:17:39,0.44,28.3,control valve,2022-08-01 12:17:39
446,1.8.2022 12:20:13,0.5,37.0,HVAC drive,2022-08-01 12:20:13
444,1.8.2022 12:50:11,0.12,32.6,humidifier Condair,2022-08-01 12:50:11
446,1.8.2022 12:54:24,0.69,26.2,air fan,2022-08-01 12:54:24
443,1.8.2022 13:17:20,0.54,28.7,control cabinet,2022-08-01 13:17:20
441,1.8.2022 13:17:44,0.28,28.3,control valve,2022-08-01 13:17:44
445,1.8.2022 13:20:23,0.6,36.9,HVAC drive,2022-08-01 13:20:23
443,1.8.2022 13:50:19,0.12,32.2,humidifier Condair,2022-08-01 13:50:19
445,1.8.2022 13:54:21,1.14,26.1,air fan,2022-08-01 13:54:21
442,1.8.2022 14:17:28,0.54,28.8,control cabinet,2022-08-01 14:17:28
440,1.8.2022 14:17:48,0.37,28.3,control valve,2022-08-01 14:17:48
444,1.8.2022 14:20:32,0.37,36.9,HVAC drive,2022-08-01 14:20:32
442,1.8.2022 14:50:24,0.16,32.0,humidifier Condair,2022-08-01 14:50:24
444,1.8.2022 14:54:21,0.95,26.1,air fan,2022-08-01 14:54:21
441,1.8.2022 15:17:35,0.54,28.8,control cabinet,2022-08-01 15:17:35
439,1.8.2022 15:17:54,0.43,28.4,control valve,2022-08-01 15:17:54
443,1.8.2022 15:20:42,0.5,36.9,HVAC drive,2022-08-01 15:20:42
441,1.8.2022 15:50:35,0.16,31.8,humidifier Condair,2022-08-01 15:50:35
443,1.8.2022 15:54:20,0.77,26.2,air fan,2022-08-01 15:54:20
440,1.8.2022 16:17:48,0.54,28.8,control cabinet,2022-08-01 16:17:48
438,1.8.2022 16:18:11,0.34,28.5,control valve,2022-08-01 16:18:11
442,1.8.2022 16:20:58,0.54,37.0,HVAC drive,2022-08-01 16:20:58
440,1.8.2022 16:50:51,0.12,31.4,humidifier Condair,2022-08-01 16:50:51
442,1.8.2022 16:54:31,0.91,26.1,air fan,2022-08-01 16:54:31
439,1.8.2022 17:17:55,0.54,28.7,control cabinet,2022-08-01 17:17:55
437,1.8.2022 17:18:18,0.34,28.3,control valve,2022-08-01 17:18:18
441,1.8.2022 17:21:10,0.46,36.9,HVAC drive,2022-08-01 17:21:10
439,1.8.2022 17:51:02,0.12,31.1,humidifier Condair,2022-08-01 17:51:02
441,1.8.2022 17:54:33,1.02,26.1,air fan,2022-08-01 17:54:33
438,1.8.2022 18:18:01,0.54,28.8,control cabinet,2022-08-01 18:18:01
436,1.8.2022 18:18:22,0.43,28.3,control valve,2022-08-01 18:18:22
440,1.8.2022 18:21:22,0.49,36.9,HVAC drive,2022-08-01 18:21:22
438,1.8.2022 18:51:08,0.12,30.9,humidifier Condair,2022-08-01 18:51:08
440,1.8.2022 18:54:31,0.84,26.1,air fan,2022-08-01 18:54:31
437,1.8.2022 19:18:06,0.53,28.7,control cabinet,2022-08-01 19:18:06
435,1.8.2022 19:18:27,0.4,28.3,control valve,2022-08-01 19:18:27
439,1.8.2022 19:21:32,0.67,36.9,HVAC drive,2022-08-01 19:21:32
437,1.8.2022 19:51:15,0.12,30.7,humidifier Condair,2022-08-01 19:51:15
439,1.8.2022 19:54:31,0.77,26.1,air fan,2022-08-01 19:54:31
436,1.8.2022 20:18:13,0.54,28.7,control cabinet,2022-08-01 20:18:13
434,1.8.2022 20:18:30,0.47,28.3,control valve,2022-08-01 20:18:30
438,1.8.2022 20:21:41,0.47,36.8,HVAC drive,2022-08-01 20:21:41
436,1.8.2022 20:51:21,0.12,30.5,humidifier Condair,2022-08-01 20:51:21
438,1.8.2022 20:54:32,0.69,26.1,air fan,2022-08-01 20:54:32
435,1.8.2022 21:18:19,0.5,28.7,control cabinet,2022-08-01 21:18:19
433,1.8.2022 21:18:33,0.48,28.3,control valve,2022-08-01 21:18:33
437,1.8.2022 21:21:51,0.4,36.9,HVAC drive,2022-08-01 21:21:51
435,1.8.2022 21:51:27,0.12,30.4,humidifier Condair,2022-08-01 21:51:27
437,1.8.2022 21:54:35,0.73,26.0,air fan,2022-08-01 21:54:35
434,1.8.2022 22:18:24,0.54,28.7,control cabinet,2022-08-01 22:18:24
432,1.8.2022 22:18:38,0.51,28.3,control valve,2022-08-01 22:18:38
436,1.8.2022 22:22:00,0.61,36.9,HVAC drive,2022-08-01 22:22:00
434,1.8.2022 22:51:31,0.16,30.1,humidifier Condair,2022-08-01 22:51:31
436,1.8.2022 22:54:39,0.69,26.0,air fan,2022-08-01 22:54:39
433,1.8.2022 23:18:29,0.54,28.7,control cabinet,2022-08-01 23:18:29
431,1.8.2022 23:18:43,0.58,28.3,control valve,2022-08-01 23:18:43
435,1.8.2022 23:22:10,0.52,36.9,HVAC drive,2022-08-01 23:22:10
433,1.8.2022 23:51:36,0.12,29.9,humidifier Condair,2022-08-01 23:51:36
435,1.8.2022 23:54:36,0.87,26.0,air fan,2022-08-01 23:54:36
432,2.8.2022 00:18:35,0.53,28.7,control cabinet,2022-08-02 00:18:35
430,2.8.2022 00:18:46,0.51,28.3,control valve,2022-08-02 00:18:46
434,2.8.2022 00:22:19,0.4,36.9,HVAC drive,2022-08-02 00:22:19
432,2.8.2022 00:51:43,0.12,29.2,humidifier Condair,2022-08-02 00:51:43
434,2.8.2022 00:54:34,1.1,26.0,air fan,2022-08-02 00:54:34
431,2.8.2022 01:18:41,0.54,28.7,control cabinet,2022-08-02 01:18:41
429,2.8.2022 01:18:50,0.52,28.3,control valve,2022-08-02 01:18:50
433,2.8.2022 01:22:27,0.61,36.9,HVAC drive,2022-08-02 01:22:27
431,2.8.2022 01:51:47,0.16,28.9,humidifier Condair,2022-08-02 01:51:47
433,2.8.2022 01:54:31,0.76,26.0,air fan,2022-08-02 01:54:31
430,2.8.2022 02:18:46,0.54,28.7,control cabinet,2022-08-02 02:18:46
428,2.8.2022 02:18:53,0.54,28.3,control valve,2022-08-02 02:18:53
432,2.8.2022 02:22:36,0.52,36.8,HVAC drive,2022-08-02 02:22:36
430,2.8.2022 02:51:50,0.16,28.7,humidifier Condair,2022-08-02 02:51:50
432,2.8.2022 02:54:29,0.88,25.9,air fan,2022-08-02 02:54:29
429,2.8.2022 03:18:50,0.55,28.7,control cabinet,2022-08-02 03:18:50
427,2.8.2022 03:18:56,0.38,28.2,control valve,2022-08-02 03:18:56
431,2.8.2022 03:22:45,0.47,36.8,HVAC drive,2022-08-02 03:22:45
429,2.8.2022 03:51:53,0.16,28.6,humidifier Condair,2022-08-02 03:51:53
431,2.8.2022 03:54:27,0.88,26.0,air fan,2022-08-02 03:54:27
428,2.8.2022 04:18:56,0.54,28.6,control cabinet,2022-08-02 04:18:56
426,2.8.2022 04:18:58,0.51,28.2,control valve,2022-08-02 04:18:58
430,2.8.2022 04:22:55,0.61,36.8,HVAC drive,2022-08-02 04:22:55
428,2.8.2022 04:51:57,0.12,28.5,humidifier Condair,2022-08-02 04:51:57
430,2.8.2022 04:54:24,0.77,26.1,air fan,2022-08-02 04:54:24
427,2.8.2022 05:19:01,0.54,28.7,control cabinet,2022-08-02 05:19:01
425,2.8.2022 05:19:02,0.48,28.2,control valve,2022-08-02 05:19:02
429,2.8.2022 05:23:04,0.45,36.9,HVAC drive,2022-08-02 05:23:04
427,2.8.2022 05:52:01,0.12,28.5,humidifier Condair,2022-08-02 05:52:01
429,2.8.2022 05:54:20,0.91,26.0,air fan,2022-08-02 05:54:20
424,2.8.2022 06:19:04,0.51,28.2,control valve,2022-08-02 06:19:04
426,2.8.2022 06:19:06,0.54,28.6,control cabinet,2022-08-02 06:19:06
428,2.8.2022 06:23:13,0.54,36.8,HVAC drive,2022-08-02 06:23:13
426,2.8.2022 06:52:04,0.12,28.4,humidifier Condair,2022-08-02 06:52:04
428,2.8.2022 06:54:17,0.87,26.1,air fan,2022-08-02 06:54:17
423,2.8.2022 07:19:06,0.47,28.2,control valve,2022-08-02 07:19:06
425,2.8.2022 07:19:11,0.54,28.6,control cabinet,2022-08-02 07:19:11
427,2.8.2022 07:23:22,0.49,36.8,HVAC drive,2022-08-02 07:23:22
425,2.8.2022 07:52:08,0.14,28.4,humidifier Condair,2022-08-02 07:52:08
427,2.8.2022 07:54:15,0.77,26.1,air fan,2022-08-02 07:54:15
422,2.8.2022 08:19:09,0.43,28.2,control valve,2022-08-02 08:19:09
424,2.8.2022 08:19:16,0.54,28.6,control cabinet,2022-08-02 08:19:16
426,2.8.2022 08:23:38,0.52,36.8,HVAC drive,2022-08-02 08:23:38
424,2.8.2022 08:52:19,0.12,28.3,humidifier Condair,2022-08-02 08:52:19
426,2.8.2022 08:54:13,0.95,25.8,air fan,2022-08-02 08:54:13
421,2.8.2022 09:19:13,0.4,28.2,control valve,2022-08-02 09:19:13
423,2.8.2022 09:19:21,0.54,28.6,control cabinet,2022-08-02 09:19:21
425,2.8.2022 09:23:48,0.47,36.8,HVAC drive,2022-08-02 09:23:48
423,2.8.2022 09:52:27,0.12,28.3,humidifier Condair,2022-08-02 09:52:27
425,2.8.2022 09:54:10,1.1,25.8,air fan,2022-08-02 09:54:10
420,2.8.2022 10:19:17,0.36,28.2,control valve,2022-08-02 10:19:17
422,2.8.2022 10:19:28,0.54,28.6,control cabinet,2022-08-02 10:19:28
424,2.8.2022 10:23:58,0.43,36.8,HVAC drive,2022-08-02 10:23:58
422,2.8.2022 10:52:33,0.12,28.3,humidifier Condair,2022-08-02 10:52:33
424,2.8.2022 10:54:11,0.88,25.8,air fan,2022-08-02 10:54:11
419,2.8.2022 11:19:29,0.33,28.2,control valve,2022-08-02 11:19:29
421,2.8.2022 11:19:44,0.54,28.6,control cabinet,2022-08-02 11:19:44
423,2.8.2022 11:25:09,0.54,36.7,HVAC drive,2022-08-02 11:25:09
421,2.8.2022 11:52:38,0.12,28.5,humidifier Condair,2022-08-02 11:52:38
423,2.8.2022 11:54:13,0.73,25.9,air fan,2022-08-02 11:54:13
418,2.8.2022 12:19:34,0.31,28.3,control valve,2022-08-02 12:19:34
420,2.8.2022 12:19:59,0.54,28.7,control cabinet,2022-08-02 12:19:59
422,2.8.2022 12:25:30,0.38,36.8,HVAC drive,2022-08-02 12:25:30
420,2.8.2022 12:52:44,0.12,28.3,humidifier Condair,2022-08-02 12:52:44
422,2.8.2022 12:54:16,0.88,25.9,air fan,2022-08-02 12:54:16
417,2.8.2022 13:19:44,0.36,28.2,control valve,2022-08-02 13:19:44
419,2.8.2022 13:20:10,0.54,28.6,control cabinet,2022-08-02 13:20:10
421,2.8.2022 13:25:43,0.43,36.8,HVAC drive,2022-08-02 13:25:43
419,2.8.2022 13:52:53,0.16,28.3,humidifier Condair,2022-08-02 13:52:53
421,2.8.2022 13:54:17,0.77,25.9,air fan,2022-08-02 13:54:17
416,2.8.2022 14:19:49,0.45,28.3,control valve,2022-08-02 14:19:49
418,2.8.2022 14:20:20,0.54,28.6,control cabinet,2022-08-02 14:20:20
420,2.8.2022 14:25:54,0.67,36.8,HVAC drive,2022-08-02 14:25:54
418,2.8.2022 14:53:07,0.16,41.4,humidifier Condair,2022-08-02 14:53:07
420,2.8.2022 14:54:20,0.91,26.3,air fan,2022-08-02 14:54:20
415,2.8.2022 15:19:54,0.34,29.1,control valve,2022-08-02 15:19:54
417,2.8.2022 15:20:26,0.66,28.7,control cabinet,2022-08-02 15:20:26
419,2.8.2022 15:26:15,0.49,37.4,HVAC drive,2022-08-02 15:26:15
417,2.8.2022 15:53:36,0.16,45.5,humidifier Condair,2022-08-02 15:53:36
419,2.8.2022 15:54:23,0.95,26.8,air fan,2022-08-02 15:54:23
414,2.8.2022 16:20:03,0.39,29.3,control valve,2022-08-02 16:20:03
416,2.8.2022 16:20:33,0.09,27.7,control cabinet,2022-08-02 16:20:33
418,2.8.2022 16:26:26,0.43,37.6,HVAC drive,2022-08-02 16:26:26
416,2.8.2022 16:53:57,0.16,43.2,humidifier Condair,2022-08-02 16:53:57
418,2.8.2022 16:54:22,1.02,26.9,air fan,2022-08-02 16:54:22
413,2.8.2022 17:20:10,0.33,29.2,control valve,2022-08-02 17:20:10
415,2.8.2022 17:20:40,0.09,27.7,control cabinet,2022-08-02 17:20:40
417,2.8.2022 17:26:39,0.46,37.6,HVAC drive,2022-08-02 17:26:39
415,2.8.2022 17:54:26,0.16,41.3,humidifier Condair,2022-08-02 17:54:26
417,2.8.2022 17:54:34,0.91,27.0,air fan,2022-08-02 17:54:34
412,2.8.2022 18:20:25,0.42,29.3,control valve,2022-08-02 18:20:25
414,2.8.2022 18:20:47,0.09,27.7,control cabinet,2022-08-02 18:20:47
416,2.8.2022 18:26:53,0.4,37.7,HVAC drive,2022-08-02 18:26:53
416,2.8.2022 18:54:37,0.66,27.0,air fan,2022-08-02 18:54:37
414,2.8.2022 18:54:42,0.16,41.3,humidifier Condair,2022-08-02 18:54:42
411,2.8.2022 19:20:32,0.42,29.4,control valve,2022-08-02 19:20:32
413,2.8.2022 19:20:55,0.12,27.7,control cabinet,2022-08-02 19:20:55
415,2.8.2022 19:27:06,0.38,37.7,HVAC drive,2022-08-02 19:27:06
415,2.8.2022 19:54:39,0.84,27.2,air fan,2022-08-02 19:54:39
413,2.8.2022 19:55:02,0.12,50.6,humidifier Condair,2022-08-02 19:55:02
410,2.8.2022 20:20:40,0.51,30.4,control valve,2022-08-02 20:20:40
412,2.8.2022 20:21:03,0.12,27.8,control cabinet,2022-08-02 20:21:03
414,2.8.2022 20:27:18,0.49,37.9,HVAC drive,2022-08-02 20:27:18
414,2.8.2022 20:54:41,0.66,27.3,air fan,2022-08-02 20:54:41
412,2.8.2022 20:55:33,0.12,49.5,humidifier Condair,2022-08-02 20:55:33
409,2.8.2022 21:20:49,0.47,29.9,control valve,2022-08-02 21:20:49
411,2.8.2022 21:21:12,0.09,27.7,control cabinet,2022-08-02 21:21:12
413,2.8.2022 21:27:31,0.52,37.9,HVAC drive,2022-08-02 21:27:31
413,2.8.2022 21:54:41,0.99,27.2,air fan,2022-08-02 21:54:41
411,2.8.2022 21:56:07,0.12,45.8,humidifier Condair,2022-08-02 21:56:07
408,2.8.2022 22:20:56,0.42,29.5,control valve,2022-08-02 22:20:56
410,2.8.2022 22:21:19,0.09,27.7,control cabinet,2022-08-02 22:21:19
412,2.8.2022 22:27:48,0.57,37.8,HVAC drive,2022-08-02 22:27:48
412,2.8.2022 22:54:43,0.69,27.1,air fan,2022-08-02 22:54:43
410,2.8.2022 22:56:24,0.12,43.3,humidifier Condair,2022-08-02 22:56:24
407,2.8.2022 23:21:02,0.52,29.2,control valve,2022-08-02 23:21:02
409,2.8.2022 23:21:26,0.09,27.7,control cabinet,2022-08-02 23:21:26
411,2.8.2022 23:28:02,0.43,37.8,HVAC drive,2022-08-02 23:28:02
411,2.8.2022 23:54:43,0.66,27.0,air fan,2022-08-02 23:54:43
409,2.8.2022 23:56:40,0.12,41.3,humidifier Condair,2022-08-02 23:56:40
406,3.8.2022 00:21:10,0.51,29.0,control valve,2022-08-03 00:21:10
408,3.8.2022 00:21:35,0.09,27.7,control cabinet,2022-08-03 00:21:35
410,3.8.2022 00:28:14,0.47,37.6,HVAC drive,2022-08-03 00:28:14
410,3.8.2022 00:54:43,0.95,26.8,air fan,2022-08-03 00:54:43
408,3.8.2022 00:57:00,0.12,39.6,humidifier Condair,2022-08-03 00:57:00
405,3.8.2022 01:21:25,0.51,28.6,control valve,2022-08-03 01:21:25
407,3.8.2022 01:21:46,0.09,27.7,control cabinet,2022-08-03 01:21:46
409,3.8.2022 01:28:27,0.43,37.5,HVAC drive,2022-08-03 01:28:27
409,3.8.2022 01:54:52,0.84,26.7,air fan,2022-08-03 01:54:52
407,3.8.2022 01:57:30,0.16,38.1,humidifier Condair,2022-08-03 01:57:30
404,3.8.2022 02:21:34,0.39,28.5,control valve,2022-08-03 02:21:34
406,3.8.2022 02:21:55,0.12,27.7,control cabinet,2022-08-03 02:21:55
408,3.8.2022 02:28:41,0.43,37.3,HVAC drive,2022-08-03 02:28:41
406,3.8.2022 02:57:45,0.16,36.9,humidifier Condair,2022-08-03 02:57:45
403,3.8.2022 03:21:43,0.47,28.4,control valve,2022-08-03 03:21:43
405,3.8.2022 03:22:12,0.09,27.7,control cabinet,2022-08-03 03:22:12
407,3.8.2022 03:28:53,0.51,37.1,HVAC drive,2022-08-03 03:28:53
408,3.8.2022 03:55:09,0.8,26.8,air fan,2022-08-03 03:55:09
405,3.8.2022 03:57:56,0.12,36.2,humidifier Condair,2022-08-03 03:57:56
402,3.8.2022 04:21:49,0.43,29.0,control valve,2022-08-03 04:21:49
404,3.8.2022 04:22:20,0.12,27.7,control cabinet,2022-08-03 04:22:20
406,3.8.2022 04:29:04,0.46,37.5,HVAC drive,2022-08-03 04:29:04
401,3.8.2022 06:22:16,0.42,29.3,control valve,2022-08-03 06:22:16
403,3.8.2022 06:22:47,0.12,27.7,control cabinet,2022-08-03 06:22:47
405,3.8.2022 06:29:43,0.42,37.8,HVAC drive,2022-08-03 06:29:43
407,3.8.2022 06:55:41,0.84,27.4,air fan,2022-08-03 06:55:41
404,3.8.2022 06:58:59,0.16,34.5,humidifier Condair,2022-08-03 06:58:59
400,3.8.2022 07:22:20,0.47,29.2,control valve,2022-08-03 07:22:20
402,3.8.2022 07:22:51,0.09,27.7,control cabinet,2022-08-03 07:22:51
404,3.8.2022 07:29:52,0.47,37.8,HVAC drive,2022-08-03 07:29:52
406,3.8.2022 07:55:38,0.88,27.3,air fan,2022-08-03 07:55:38
403,3.8.2022 07:59:06,0.12,34.0,humidifier Condair,2022-08-03 07:59:06
399,3.8.2022 08:22:26,0.45,29.2,control valve,2022-08-03 08:22:26
401,3.8.2022 08:22:55,0.12,27.7,control cabinet,2022-08-03 08:22:55
403,3.8.2022 08:30:02,0.38,37.8,HVAC drive,2022-08-03 08:30:02
405,3.8.2022 08:55:36,0.84,27.1,air fan,2022-08-03 08:55:36
402,3.8.2022 08:59:13,0.12,33.4,humidifier Condair,2022-08-03 08:59:13
398,3.8.2022 09:22:31,0.51,28.8,control valve,2022-08-03 09:22:31
400,3.8.2022 09:23:00,0.12,27.7,control cabinet,2022-08-03 09:23:00
402,3.8.2022 09:30:14,0.6,37.5,HVAC drive,2022-08-03 09:30:14
404,3.8.2022 09:55:38,0.8,26.7,air fan,2022-08-03 09:55:38
401,3.8.2022 09:59:19,0.12,32.7,humidifier Condair,2022-08-03 09:59:19
397,3.8.2022 10:22:34,0.43,28.4,control valve,2022-08-03 10:22:34
399,3.8.2022 10:23:04,0.12,27.7,control cabinet,2022-08-03 10:23:04
401,3.8.2022 10:30:24,0.46,37.2,HVAC drive,2022-08-03 10:30:24
403,3.8.2022 10:55:39,0.69,26.6,air fan,2022-08-03 10:55:39
400,3.8.2022 10:59:26,0.12,32.2,humidifier Condair,2022-08-03 10:59:26
396,3.8.2022 11:22:40,0.33,28.3,control valve,2022-08-03 11:22:40
398,3.8.2022 11:23:12,0.09,27.7,control cabinet,2022-08-03 11:23:12
400,3.8.2022 11:30:34,0.44,37.1,HVAC drive,2022-08-03 11:30:34
402,3.8.2022 11:55:43,0.99,26.5,air fan,2022-08-03 11:55:43
399,3.8.2022 11:59:33,0.12,31.9,humidifier Condair,2022-08-03 11:59:33
395,3.8.2022 12:22:45,0.37,28.3,control valve,2022-08-03 12:22:45
397,3.8.2022 12:23:17,0.09,27.7,control cabinet,2022-08-03 12:23:17
399,3.8.2022 12:30:47,0.46,37.0,HVAC drive,2022-08-03 12:30:47
401,3.8.2022 12:55:49,0.83,26.4,air fan,2022-08-03 12:55:49
398,3.8.2022 12:59:39,0.12,31.5,humidifier Condair,2022-08-03 12:59:39
394,3.8.2022 13:22:50,0.36,28.3,control valve,2022-08-03 13:22:50
396,3.8.2022 13:23:31,0.09,27.8,control cabinet,2022-08-03 13:23:31
398,3.8.2022 13:30:56,0.47,37.0,HVAC drive,2022-08-03 13:30:56
400,3.8.2022 13:55:54,0.65,26.3,air fan,2022-08-03 13:55:54
397,3.8.2022 13:59:52,0.12,31.2,humidifier Condair,2022-08-03 13:59:52
393,3.8.2022 14:22:56,0.43,28.3,control valve,2022-08-03 14:22:56
395,3.8.2022 14:23:39,0.09,27.8,control cabinet,2022-08-03 14:23:39
397,3.8.2022 14:31:06,0.54,37.0,HVAC drive,2022-08-03 14:31:06
399,3.8.2022 14:56:03,0.62,26.2,air fan,2022-08-03 14:56:03
396,3.8.2022 15:00:01,0.16,30.9,humidifier Condair,2022-08-03 15:00:01
392,3.8.2022 15:23:00,0.4,28.3,control valve,2022-08-03 15:23:00
394,3.8.2022 15:23:44,0.09,27.8,control cabinet,2022-08-03 15:23:44
396,3.8.2022 15:31:16,0.44,37.0,HVAC drive,2022-08-03 15:31:16
398,3.8.2022 15:56:02,1.02,26.4,air fan,2022-08-03 15:56:02
395,3.8.2022 16:00:15,0.12,31.0,humidifier Condair,2022-08-03 16:00:15
391,3.8.2022 16:23:05,0.37,28.5,control valve,2022-08-03 16:23:05
393,3.8.2022 16:23:52,0.12,27.9,control cabinet,2022-08-03 16:23:52
395,3.8.2022 16:31:25,0.44,37.0,HVAC drive,2022-08-03 16:31:25
397,3.8.2022 16:56:01,1.17,26.2,air fan,2022-08-03 16:56:01
394,3.8.2022 17:00:21,0.12,30.6,humidifier Condair,2022-08-03 17:00:21
390,3.8.2022 17:23:14,0.42,28.3,control valve,2022-08-03 17:23:14
392,3.8.2022 17:23:59,0.09,27.8,control cabinet,2022-08-03 17:23:59
394,3.8.2022 17:31:36,0.61,37.0,HVAC drive,2022-08-03 17:31:36
396,3.8.2022 17:56:00,0.8,26.2,air fan,2022-08-03 17:56:00
393,3.8.2022 18:00:28,0.16,30.4,humidifier Condair,2022-08-03 18:00:28
389,3.8.2022 18:23:21,0.4,28.4,control valve,2022-08-03 18:23:21
391,3.8.2022 18:24:06,0.12,27.8,control cabinet,2022-08-03 18:24:06
393,3.8.2022 18:31:49,0.54,37.0,HVAC drive,2022-08-03 18:31:49
395,3.8.2022 18:55:59,0.8,26.4,air fan,2022-08-03 18:55:59
392,3.8.2022 19:00:39,0.16,48.0,humidifier Condair,2022-08-03 19:00:39
388,3.8.2022 19:23:25,0.49,29.1,control valve,2022-08-03 19:23:25
390,3.8.2022 19:24:13,0.09,27.8,control cabinet,2022-08-03 19:24:13
392,3.8.2022 19:31:59,0.46,37.2,HVAC drive,2022-08-03 19:31:59
394,3.8.2022 19:55:56,0.73,26.3,air fan,2022-08-03 19:55:56
391,3.8.2022 20:00:57,0.16,45.8,humidifier Condair,2022-08-03 20:00:57
387,3.8.2022 20:23:28,0.45,28.6,control valve,2022-08-03 20:23:28
389,3.8.2022 20:24:17,0.09,27.8,control cabinet,2022-08-03 20:24:17
391,3.8.2022 20:32:09,0.44,37.2,HVAC drive,2022-08-03 20:32:09
393,3.8.2022 20:55:57,0.91,26.2,air fan,2022-08-03 20:55:57
390,3.8.2022 21:01:16,0.12,43.3,humidifier Condair,2022-08-03 21:01:16
386,3.8.2022 21:23:33,0.45,28.5,control valve,2022-08-03 21:23:33
388,3.8.2022 21:24:23,0.09,27.8,control cabinet,2022-08-03 21:24:23
390,3.8.2022 21:32:17,0.46,37.1,HVAC drive,2022-08-03 21:32:17
392,3.8.2022 21:55:57,0.84,26.2,air fan,2022-08-03 21:55:57
389,3.8.2022 22:01:29,0.12,41.3,humidifier Condair,2022-08-03 22:01:29
385,3.8.2022 22:23:36,0.52,28.5,control valve,2022-08-03 22:23:36
387,3.8.2022 22:24:28,0.09,27.7,control cabinet,2022-08-03 22:24:28
389,3.8.2022 22:32:27,0.46,37.0,HVAC drive,2022-08-03 22:32:27
391,3.8.2022 22:55:57,0.99,26.2,air fan,2022-08-03 22:55:57
