,Time,Vibration RMS Velocity,Temperature,Name,Datetime
599,26.7.2022 03:52:31,0.8,25.9,air fan,2022-07-26 03:52:31
594,26.7.2022 03:56:53,0.69,28.7,control cabinet,2022-07-26 03:56:53
590,26.7.2022 03:58:41,0.12,28.3,humidifier Condair,2022-07-26 03:58:41
591,26.7.2022 03:59:28,0.57,28.3,control valve,2022-07-26 03:59:28
596,26.7.2022 04:50:00,0.47,36.8,HVAC drive,2022-07-26 04:50:00
598,26.7.2022 04:52:31,0.84,25.9,air fan,2022-07-26 04:52:31
593,26.7.2022 04:57:00,0.7,28.7,control cabinet,2022-07-26 04:57:00
589,26.7.2022 04:58:59,0.12,28.3,humidifier Condair,2022-07-26 04:58:59
590,26.7.2022 04:59:35,0.74,28.3,control valve,2022-07-26 04:59:35
595,26.7.2022 05:50:17,0.58,36.8,HVAC drive,2022-07-26 05:50:17
597,26.7.2022 05:52:31,0.91,25.9,air fan,2022-07-26 05:52:31
592,26.7.2022 05:57:13,0.69,28.7,control cabinet,2022-07-26 05:57:13
588,26.7.2022 05:59:20,0.12,28.2,humidifier Condair,2022-07-26 05:59:20
589,26.7.2022 05:59:44,0.62,28.3,control valve,2022-07-26 05:59:44
594,26.7.2022 06:50:27,0.7,36.8,HVAC drive,2022-07-26 06:50:27
596,26.7.2022 06:52:29,0.76,25.9,air fan,2022-07-26 06:52:29
591,26.7.2022 06:57:19,0.69,28.7,control cabinet,2022-07-26 06:57:19
587,26.7.2022 06:59:37,0.12,28.2,humidifier Condair,2022-07-26 06:59:37
588,26.7.2022 06:59:48,0.51,28.3,control valve,2022-07-26 06:59:48
593,26.7.2022 07:50:38,0.46,36.8,HVAC drive,2022-07-26 07:50:38
595,26.7.2022 07:52:25,1.02,25.9,air fan,2022-07-26 07:52:25
590,26.7.2022 07:57:25,0.69,28.7,control cabinet,2022-07-26 07:57:25
587,26.7.2022 07:59:52,0.58,28.2,control valve,2022-07-26 07:59:52
586,26.7.2022 07:59:56,0.16,28.2,humidifier Condair,2022-07-26 07:59:56
592,26.7.2022 08:50:49,0.57,36.8,HVAC drive,2022-07-26 08:50:49
594,26.7.2022 08:52:25,0.95,25.9,air fan,2022-07-26 08:52:25
589,26.7.2022 08:57:31,0.65,28.7,control cabinet,2022-07-26 08:57:31
586,26.7.2022 08:59:57,0.58,28.2,control valve,2022-07-26 08:59:57
585,26.7.2022 09:00:47,0.16,28.2,humidifier Condair,2022-07-26 09:00:47
591,26.7.2022 09:51:00,0.46,36.9,HVAC drive,2022-07-26 09:51:00
593,26.7.2022 09:52:25,1.06,26.1,air fan,2022-07-26 09:52:25
588,26.7.2022 09:57:37,0.69,28.6,control cabinet,2022-07-26 09:57:37
585,26.7.2022 10:00:36,0.58,28.6,control valve,2022-07-26 10:00:36
590,26.7.2022 10:51:15,0.45,37.4,HVAC drive,2022-07-26 10:51:15
592,26.7.2022 10:52:28,0.91,26.7,air fan,2022-07-26 10:52:28
587,26.7.2022 10:57:54,0.66,28.7,control cabinet,2022-07-26 10:57:54
584,26.7.2022 11:02:49,0.16,44.1,humidifier Condair,2022-07-26 11:02:49
589,26.7.2022 11:51:36,0.56,37.6,HVAC drive,2022-07-26 11:51:36
591,26.7.2022 11:52:28,0.85,26.9,air fan,2022-07-26 11:52:28
586,26.7.2022 11:58:15,0.69,28.8,control cabinet,2022-07-26 11:58:15
584,26.7.2022 12:02:00,0.51,29.3,control valve,2022-07-26 12:02:00
588,26.7.2022 12:51:48,0.54,37.7,HVAC drive,2022-07-26 12:51:48
590,26.7.2022 12:52:38,0.95,27.0,air fan,2022-07-26 12:52:38
585,26.7.2022 12:58:50,0.65,28.8,control cabinet,2022-07-26 12:58:50
583,26.7.2022 13:02:10,0.56,29.3,control valve,2022-07-26 13:02:10
583,26.7.2022 13:04:16,0.12,40.0,humidifier Condair,2022-07-26 13:04:16
587,26.7.2022 13:52:29,0.49,37.7,HVAC drive,2022-07-26 13:52:29
589,26.7.2022 13:53:39,0.69,27.0,air fan,2022-07-26 13:53:39
584,26.7.2022 13:59:16,0.69,28.8,control cabinet,2022-07-26 13:59:16
582,26.7.2022 14:02:17,0.48,29.3,control valve,2022-07-26 14:02:17
582,26.7.2022 14:04:57,0.16,38.6,humidifier Condair,2022-07-26 14:04:57
586,26.7.2022 14:52:59,0.47,37.7,HVAC drive,2022-07-26 14:52:59
588,26.7.2022 14:53:46,0.84,27.0,air fan,2022-07-26 14:53:46
583,26.7.2022 14:59:24,0.69,28.8,control cabinet,2022-07-26 14:59:24
581,26.7.2022 15:02:26,0.47,29.3,control valve,2022-07-26 15:02:26
585,26.7.2022 15:53:15,0.4,37.8,HVAC drive,2022-07-26 15:53:15
587,26.7.2022 15:54:11,0.84,27.1,air fan,2022-07-26 15:54:11
582,26.7.2022 15:59:38,0.7,28.8,control cabinet,2022-07-26 15:59:38
580,26.7.2022 16:02:33,0.56,29.3,control valve,2022-07-26 16:02:33
581,26.7.2022 16:06:02,0.16,36.5,humidifier Condair,2022-07-26 16:06:02
584,26.7.2022 16:53:32,0.38,37.8,HVAC drive,2022-07-26 16:53:32
586,26.7.2022 16:54:21,1.14,27.0,air fan,2022-07-26 16:54:21
581,26.7.2022 16:59:47,0.69,28.8,control cabinet,2022-07-26 16:59:47
579,26.7.2022 17:02:47,0.51,29.3,control valve,2022-07-26 17:02:47
580,26.7.2022 17:06:42,0.16,35.7,humidifier Condair,2022-07-26 17:06:42
583,26.7.2022 17:53:48,0.52,37.8,HVAC drive,2022-07-26 17:53:48
585,26.7.2022 17:54:20,0.99,27.1,air fan,2022-07-26 17:54:20
580,26.7.2022 17:59:54,0.7,28.8,control cabinet,2022-07-26 17:59:54
578,26.7.2022 18:02:54,0.61,29.3,control valve,2022-07-26 18:02:54
579,26.7.2022 18:07:15,0.16,36.2,humidifier Condair,2022-07-26 18:07:15
582,26.7.2022 18:54:16,0.45,37.8,HVAC drive,2022-07-26 18:54:16
584,26.7.2022 18:54:25,0.73,27.1,air fan,2022-07-26 18:54:25
579,26.7.2022 19:00:05,0.69,28.8,control cabinet,2022-07-26 19:00:05
577,26.7.2022 19:03:03,0.57,29.3,control valve,2022-07-26 19:03:03
578,26.7.2022 19:07:43,0.16,42.1,humidifier Condair,2022-07-26 19:07:43
583,26.7.2022 19:54:33,0.8,27.1,air fan,2022-07-26 19:54:33
581,26.7.2022 19:54:34,0.5,37.8,HVAC drive,2022-07-26 19:54:34
578,26.7.2022 20:00:18,0.69,28.8,control cabinet,2022-07-26 20:00:18
576,26.7.2022 20:03:17,0.55,29.4,control valve,2022-07-26 20:03:17
577,26.7.2022 20:08:19,0.16,43.7,humidifier Condair,2022-07-26 20:08:19
582,26.7.2022 20:54:35,0.99,27.2,air fan,2022-07-26 20:54:35
580,26.7.2022 20:54:49,0.47,37.8,HVAC drive,2022-07-26 20:54:49
577,26.7.2022 21:00:28,0.69,28.8,control cabinet,2022-07-26 21:00:28
575,26.7.2022 21:03:26,0.48,29.4,control valve,2022-07-26 21:03:26
576,26.7.2022 21:08:50,0.16,41.5,humidifier Condair,2022-07-26 21:08:50
581,26.7.2022 21:54:42,0.87,27.1,air fan,2022-07-26 21:54:42
579,26.7.2022 21:55:04,0.46,37.8,HVAC drive,2022-07-26 21:55:04
576,26.7.2022 22:00:38,0.69,28.8,control cabinet,2022-07-26 22:00:38
